"Órgão (Cod)";"Órgão";"UO (Cod)";"UO";"Função (Cod)";"Função";"Subfunção (Cod)";"Subfunção";"GND (Cod)";"GND";"Autorizado";"Pago";"RP Pago"
"14000";"JUSTICA ELEITORAL";"14120";"TRIBUNAL REGIONAL ELEITORAL DO RIO GRANDE DO NORTE";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"60544508";"59039302.72";"1033598.31"
"20000";"PRESIDENCIA DA REPUBLICA";"20125";"CONTROLADORIA-GERAL DA UNIÃO";"04";"ADMINISTRACAO";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"552057426";"542446844.41";"369993.13"
"12000";"JUSTICA FEDERAL";"12103";"TRIBUNAL REGIONAL FEDERAL DA 2A. REGIÃO";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"202132771";"199477738.11";"644.32"
"12000";"JUSTICA FEDERAL";"12101";"JUSTIÇA FEDERAL DE PRIMEIRO GRAU";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"3950742531";"3916845891.92";"197874.81"
"15000";"JUSTICA DO TRABALHO";"15110";"TRIBUNAL REGIONAL DO TRABALHO DA 9A. REGIÃO - PARANÁ";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"485336510";"479233541.51";"525787.38"
"15000";"JUSTICA DO TRABALHO";"15119";"TRIBUNAL REGIONAL DO TRABALHO DA 18A. REGIÃO - GOIÁS";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"199542882";"198342315.86";"0"
"35000";"MINISTERIO DAS RELACOES EXTERIORES";"35201";"FUNDAÇÃO ALEXANDRE DE GUSMÃO";"07";"RELACOES EXTERIORES";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"6334788";"6093919.07";"0"
"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"49201";"INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA";"21";"ORGANIZACAO AGRARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"448917711";"442891025.75";"261326.15"
"15000";"JUSTICA DO TRABALHO";"15115";"TRIBUNAL REGIONAL DO TRABALHO DA 14A. REGIÃO - RONDÔNIA/ACRE";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"177749406";"175445735.84";"0"
"53000";"MINISTERIO DA INTEGRACAO NACIONAL";"53202";"SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA";"04";"ADMINISTRACAO";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"20529315";"18838527.76";"29093.92"
